time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
4.639976,-0.1169,2.1,-0.0536,90,45,0
4.656974,-0.1169,2.1,-0.0536,90,45,0
4.672929,-0.1169,2.1,-0.0536,90,45,0
4.689496,-0.1169,2.1,-0.0536,90,45,0
4.706475,-0.1169,2.1,-0.0536,90,45,0
4.735457,-0.1169,2.1,-0.0536,90,45,0
4.752961,-0.1169,2.1,-0.0536,90,45,0
4.768593,-0.1169,2.1,-0.0536,90,45,0
4.785204,-0.1169,2.1,-0.0536,90,45,0
4.801899,-0.1169,2.1,-0.0536,90,45,0
4.818614,-0.1169,2.1,-0.0536,90,45,0
4.83555,-0.1169,2.1,-0.0536,90,45,0
4.851427,-0.1169,2.1,-0.0536,90,45,0
4.868423,-0.1169,2.1,-0.0536,90,45,0
4.885125,-0.1169,2.1,-0.0536,90,45,0
4.901569,-0.1169,2.1,-0.0536,90,45,0
4.917819,-0.1169,2.1,-0.0536,90,45,0
4.934759,-0.1169,2.1,-0.0536,90,45,0
4.950827,-0.1169,2.1,-0.0536,90,45,0
4.96768,-0.1169,2.1,-0.0536,90,45,0
4.98396,-0.1169,2.1,-0.0536,90,45,0
5.000526,-0.1169,2.1,-0.0536,90,45,0
5.017094,-0.1169,2.1,-0.0536,90,45,0
5.03366,-0.1169,2.1,-0.0536,90,45,0
5.050227,-0.1169,2.1,-0.0536,90,45,0
5.066794,-0.1169,2.1,-0.0536,90,45,0
5.08336,-0.1169,2.1,-0.0536,90,45,0
5.100045,-0.1169,2.1,-0.0536,90,45,0
5.117001,-0.1169,2.1,-0.0536,90,45,0
5.133072,-0.1169,2.1,-0.0536,90,45,0
5.149627,-0.1169,2.1,-0.0536,90,45,0
5.166193,-0.1169,2.1,-0.0536,90,45,0
5.18276,-0.1169,2.1,-0.0536,90,45,0
5.199635,-0.1169,2.1,-0.0536,90,45,0
5.215893,-0.1169,2.1,-0.0536,90,45,0
5.232762,-0.1169,2.1,-0.0536,90,45,0
5.249538,-0.1169,2.1,-0.0536,90,45,0
5.265593,-0.1169,2.1,-0.0536,90,45,0
5.28216,-0.1169,2.1,-0.0536,90,45,0
5.298727,-0.1169,2.1,-0.0536,90,45,0
5.315294,-0.1169,2.1,-0.0536,90,45,0
5.33186,-0.1169,2.1,-0.0536,90,45,0
5.348426,-0.1169,2.1,-0.0536,90,45,0
5.364993,-0.1169,2.1,-0.0536,90,45,0
5.38166,-0.1169,2.1,-0.0536,90,45,0
5.398296,-0.1169,2.1,-0.0536,90,45,0
5.414693,-0.1169,2.1,-0.0536,90,45,0
5.431432,-0.1169,2.1,-0.0536,90,45,0
5.447826,-0.1169,2.1,-0.0536,90,45,0
5.464394,-0.1169,2.1,-0.0536,90,45,0
5.481144,-0.1169,2.1,-0.0536,90,45,0
5.497797,-0.1169,2.1,-0.0536,90,45,0
5.514094,-0.1169,2.1,-0.0536,90,45,0
5.53066,-0.1169,2.1,-0.0536,90,45,0
5.54723,-0.1169,2.1,-0.0536,90,45,0
5.563945,-0.1169,2.1,-0.0536,90,45,0
5.58036,-0.1169,2.1,-0.0536,90,45,0
5.597321,-0.1169,2.1,-0.0536,90,45,0
5.613493,-0.1169,2.1,-0.0536,90,45,0
5.630155,-0.1169,2.1,-0.0536,90,45,0
5.646626,-0.1169,2.1,-0.0536,90,45,0
5.663193,-0.1169,2.1,-0.0536,90,45,0
5.67976,-0.1169,2.1,-0.0536,90,45,0
5.696327,-0.1169,2.1,-0.0536,90,45,0
5.712893,-0.1169,2.1,-0.0536,90,45,0
5.72946,-0.1169,2.1,-0.0536,90,45,0
5.746027,-0.1169,2.1,-0.0536,90,45,0
5.763122,-0.1169,2.1,-0.0536,90,45,0
5.779387,-0.1169,2.1,-0.0536,90,45,0
5.795726,-0.1169,2.1,-0.0536,90,45,0
5.812981,-0.0893,2.1,-0.1949,90,45,0
5.829733,-0.0614,2.1,-0.2796,90,45,0
5.845718,-0.0407,2.1,-0.3998,90,45,0
5.862405,-0.0131,2.1,-0.5552,90,45,0
5.87856,-0.0131,2.1,-0.5552,90,45,0
5.895127,0.006,2.1,-1.029,90,45,0
5.912591,-0.0023,2.1,-1.3048,90,45,0
5.928259,0.0026,2.1,-1.7787,90,45,0
5.945076,0.022,2.1,-2.1958,90,45,0
5.9614,0.0355,2.1,-2.3372,90,45,0
5.978876,0.0355,2.1,-2.3372,90,45,0
5.994531,0.1052,2.1,-2.5632,90,45,0
6.011621,0.1333,2.1,-2.6055,90,45,0
6.02766,0.1472,2.1,-2.662,90,45,0
