timestamp,log_type,message
0,Log,Loaded: C:\Users\andrea\Desktop\MyPam Suite Working Folder\MyPam-Suite\Participant Data and Results\participant_list.csv
1.701542,Log,Updating: C:\Users\andrea\Desktop\MyPam Suite Working Folder\MyPam-Suite\Participant Data and Results\participant_list.csv
1.727598,Log,Reaction Time = 0
5.912591,Log,Reaction Time = 1.272615
5.928259,Log,Reaction Time = 1.272615
5.945076,Log,Reaction Time = 1.272615
5.9614,Log,Reaction Time = 1.272615
5.978876,Log,Reaction Time = 1.272615
5.994531,Log,Reaction Time = 1.272615
6.011621,Log,Reaction Time = 1.272615
6.02766,Log,Reaction Time = 1.272615
6.044228,Log,Reaction Time = 1.272615
6.044228,Exception,NullReferenceException: Object reference not set to an instance of an object
6.061339,Log,Reaction Time = 1.272615
6.137643,Log,Reaction Time = 1.272615
6.154548,Log,Reaction Time = 1.272615
6.170779,Log,Reaction Time = 1.272615
6.187723,Log,Reaction Time = 1.272615
6.203912,Log,Reaction Time = 1.272615
6.224277,Log,Reaction Time = 1.272615
6.241488,Log,Reaction Time = 1.272615
6.257641,Log,Reaction Time = 1.272615
6.274301,Log,Reaction Time = 1.272615
6.290623,Log,Reaction Time = 1.272615
6.307114,Log,Reaction Time = 1.272615
6.323686,Log,Reaction Time = 1.272615
6.340928,Log,Reaction Time = 1.272615
6.356812,Log,Reaction Time = 1.272615
6.37338,Log,Reaction Time = 1.272615
6.390662,Log,Reaction Time = 1.272615
6.406513,Log,Reaction Time = 1.272615
6.423746,Log,Reaction Time = 1.272615
6.439751,Log,Reaction Time = 1.272615
6.456239,Log,Reaction Time = 1.272615
6.47278,Log,Reaction Time = 1.272615
6.489345,Log,Reaction Time = 1.272615
6.506093,Log,Reaction Time = 1.272615
6.540531,Log,Reaction Time = 1.272615
6.557098,Log,Reaction Time = 1.272615
6.574066,Log,Reaction Time = 1.272615
6.590554,Log,Reaction Time = 1.272615
6.6068,Log,Reaction Time = 1.272615
6.623366,Log,Reaction Time = 1.272615
6.639933,Log,Reaction Time = 1.272615
6.657062,Log,Reaction Time = 1.272615
6.673067,Log,Reaction Time = 1.272615
6.689633,Log,Reaction Time = 1.272615
6.706893,Log,Reaction Time = 1.272615
6.723311,Log,Reaction Time = 1.272615
6.739338,Log,Reaction Time = 1.272615
6.756005,Log,Reaction Time = 1.272615
6.772465,Log,Reaction Time = 1.272615
6.789032,Log,Reaction Time = 1.272615
6.806065,Log,Reaction Time = 1.272615
6.822472,Log,Reaction Time = 1.272615
6.838733,Log,Reaction Time = 1.272615
6.855517,Log,Reaction Time = 1.272615
6.871866,Log,Reaction Time = 1.272615
6.888852,Log,Reaction Time = 1.272615
6.905088,Log,Reaction Time = 1.272615
6.921566,Log,Reaction Time = 1.272615
6.938337,Log,Reaction Time = 1.272615
6.9547,Log,Reaction Time = 1.272615
6.971267,Log,Reaction Time = 1.272615
6.987998,Log,Reaction Time = 1.272615
7.005124,Log,Reaction Time = 1.272615
7.020966,Log,Reaction Time = 1.272615
7.037533,Log,Reaction Time = 1.272615
7.054548,Log,Reaction Time = 1.272615
7.070752,Log,Reaction Time = 1.272615
7.087233,Log,Reaction Time = 1.272615
7.103799,Log,Reaction Time = 1.272615
7.120502,Log,Reaction Time = 1.272615
7.137214,Log,Reaction Time = 1.272615
7.1535,Log,Reaction Time = 1.272615
7.170067,Log,Reaction Time = 1.272615
7.187259,Log,Reaction Time = 1.272615
7.203321,Log,Reaction Time = 1.272615
7.219767,Log,Reaction Time = 1.272615
7.236331,Log,Reaction Time = 1.272615
7.252899,Log,Reaction Time = 1.272615
7.270093,Log,Reaction Time = 1.272615
7.286035,Log,Reaction Time = 1.272615
7.468466,Log,Reaction Time = 1.272615
8.048757,Log,Reaction Time = 1.272615
8.064838,Log,Reaction Time = 1.272615
8.081237,Log,Reaction Time = 1.272615
8.098348,Log,Reaction Time = 1.272615
8.114375,Log,Reaction Time = 1.272615
8.130933,Log,Reaction Time = 1.272615
8.147902,Log,Reaction Time = 1.272615
8.164126,Log,Reaction Time = 1.272615
8.180633,Log,Reaction Time = 1.272615
8.1972,Log,Reaction Time = 1.272615
8.214083,Log,Reaction Time = 1.272615
8.230332,Log,Reaction Time = 1.272615
8.247192,Log,Reaction Time = 1.272615
8.264144,Log,Reaction Time = 1.272615
8.280033,Log,Reaction Time = 1.272615
8.29712,Log,Reaction Time = 1.272615
8.313167,Log,Reaction Time = 1.272615
8.329985,Log,Reaction Time = 1.272615
8.3463,Log,Reaction Time = 1.272615
8.362881,Log,Reaction Time = 1.272615
8.379957,Log,Reaction Time = 1.272615
8.396,Log,Reaction Time = 1.272615
8.412566,Log,Reaction Time = 1.272615
12.86503,Log,Reaction Time = 0.9733827
12.88148,Log,Reaction Time = 0.9733827
12.898,Log,Reaction Time = 0.9733827
12.91457,Log,Reaction Time = 0.9733827
12.93113,Log,Reaction Time = 0.9733827
12.9477,Log,Reaction Time = 0.9733827
12.96481,Log,Reaction Time = 0.9733827
12.98091,Log,Reaction Time = 0.9733827
12.98091,Exception,NullReferenceException: Object reference not set to an instance of an object
12.9974,Log,Reaction Time = 0.9733827
13.01397,Log,Reaction Time = 0.9733827
13.03097,Log,Reaction Time = 0.9733827
13.04742,Log,Reaction Time = 0.9733827
13.06367,Log,Reaction Time = 0.9733827
13.08023,Log,Reaction Time = 0.9733827
13.09741,Log,Reaction Time = 0.9733827
13.11337,Log,Reaction Time = 0.9733827
13.13005,Log,Reaction Time = 0.9733827
13.14705,Log,Reaction Time = 0.9733827
13.16349,Log,Reaction Time = 0.9733827
13.17963,Log,Reaction Time = 0.9733827
13.1962,Log,Reaction Time = 0.9733827
13.21277,Log,Reaction Time = 0.9733827
13.23014,Log,Reaction Time = 0.9733827
13.24602,Log,Reaction Time = 0.9733827
13.26247,Log,Reaction Time = 0.9733827
13.27903,Log,Reaction Time = 0.9733827
13.2956,Log,Reaction Time = 0.9733827
13.31243,Log,Reaction Time = 0.9733827
13.32873,Log,Reaction Time = 0.9733827
13.3453,Log,Reaction Time = 0.9733827
13.362,Log,Reaction Time = 0.9733827
13.37843,Log,Reaction Time = 0.9733827
13.395,Log,Reaction Time = 0.9733827
13.41157,Log,Reaction Time = 0.9733827
13.4282,Log,Reaction Time = 0.9733827
13.4447,Log,Reaction Time = 0.9733827
13.46144,Log,Reaction Time = 0.9733827
13.47867,Log,Reaction Time = 0.9733827
13.49493,Log,Reaction Time = 0.9733827
13.51122,Log,Reaction Time = 0.9733827
13.52782,Log,Reaction Time = 0.9733827
13.5441,Log,Reaction Time = 0.9733827
13.56067,Log,Reaction Time = 0.9733827
13.57807,Log,Reaction Time = 0.9733827
13.59436,Log,Reaction Time = 0.9733827
13.61037,Log,Reaction Time = 0.9733827
13.62799,Log,Reaction Time = 0.9733827
13.64419,Log,Reaction Time = 0.9733827
13.66066,Log,Reaction Time = 0.9733827
13.67663,Log,Reaction Time = 0.9733827
13.6932,Log,Reaction Time = 0.9733827
13.7098,Log,Reaction Time = 0.9733827
13.72675,Log,Reaction Time = 0.9733827
13.743,Log,Reaction Time = 0.9733827
13.75956,Log,Reaction Time = 0.9733827
13.77654,Log,Reaction Time = 0.9733827
13.7926,Log,Reaction Time = 0.9733827
13.80945,Log,Reaction Time = 0.9733827
13.82616,Log,Reaction Time = 0.9733827
13.8423,Log,Reaction Time = 0.9733827
13.85911,Log,Reaction Time = 0.9733827
13.87605,Log,Reaction Time = 0.9733827
13.89221,Log,Reaction Time = 0.9733827
