directory,experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,reaction_time,hammer_movement_filename
advanced_example_1/P_200411193402/S001,advanced_example_1,P_200411193402,1,1,1,1,4.639976,6.044228,,hammer_movement_T001.csv
advanced_example_1/P_200411193402/S001,advanced_example_1,P_200411193402,1,2,1,2,11.89165,12.98091,,hammer_movement_T002.csv
advanced_example_1/P_200411193402/S001,advanced_example_1,P_200411193402,1,3,1,3,16.24447,16.90165,,hammer_movement_T003.csv
advanced_example_1/P_200411193402/S001,advanced_example_1,P_200411193402,1,4,1,4,22.93578,26.77552,,hammer_movement_T004.csv
advanced_example_1/P_200411193402/S001,advanced_example_1,P_200411193402,1,5,1,5,37.64525,42.6497,,hammer_movement_T005.csv





