timestamp,log_type,message
0,Exception,NullReferenceException: Object reference not set to an instance of an object
0,Exception,NullReferenceException: Object reference not set to an instance of an object
0,Log,Loaded: C:\Users\andrea\Desktop\MyPam Suite Working Folder\MyPam-Suite\Participant Data and Results\participant_list.csv
0.02,Exception,NullReferenceException: Object reference not set to an instance of an object
0.04,Exception,NullReferenceException: Object reference not set to an instance of an object
0.06,Exception,NullReferenceException: Object reference not set to an instance of an object
0.08,Exception,NullReferenceException: Object reference not set to an instance of an object
0.09999999,Exception,NullReferenceException: Object reference not set to an instance of an object
0.12,Exception,NullReferenceException: Object reference not set to an instance of an object
0.14,Exception,NullReferenceException: Object reference not set to an instance of an object
0.16,Exception,NullReferenceException: Object reference not set to an instance of an object
0.18,Exception,NullReferenceException: Object reference not set to an instance of an object
0.2,Exception,NullReferenceException: Object reference not set to an instance of an object
0.22,Exception,NullReferenceException: Object reference not set to an instance of an object
0.24,Exception,NullReferenceException: Object reference not set to an instance of an object
0.26,Exception,NullReferenceException: Object reference not set to an instance of an object
0.28,Exception,NullReferenceException: Object reference not set to an instance of an object
0.3,Exception,NullReferenceException: Object reference not set to an instance of an object
0.32,Exception,NullReferenceException: Object reference not set to an instance of an object
0.34,Exception,NullReferenceException: Object reference not set to an instance of an object
0.36,Exception,NullReferenceException: Object reference not set to an instance of an object
0.38,Exception,NullReferenceException: Object reference not set to an instance of an object
0.4,Exception,NullReferenceException: Object reference not set to an instance of an object
0.42,Exception,NullReferenceException: Object reference not set to an instance of an object
0.44,Exception,NullReferenceException: Object reference not set to an instance of an object
0.46,Exception,NullReferenceException: Object reference not set to an instance of an object
0.48,Exception,NullReferenceException: Object reference not set to an instance of an object
0.5,Exception,NullReferenceException: Object reference not set to an instance of an object
0.52,Exception,NullReferenceException: Object reference not set to an instance of an object
0.54,Exception,NullReferenceException: Object reference not set to an instance of an object
0.56,Exception,NullReferenceException: Object reference not set to an instance of an object
0.58,Exception,NullReferenceException: Object reference not set to an instance of an object
0.6,Exception,NullReferenceException: Object reference not set to an instance of an object
0.62,Exception,NullReferenceException: Object reference not set to an instance of an object
0.64,Exception,NullReferenceException: Object reference not set to an instance of an object
0.66,Exception,NullReferenceException: Object reference not set to an instance of an object
0.68,Exception,NullReferenceException: Object reference not set to an instance of an object
0.7,Exception,NullReferenceException: Object reference not set to an instance of an object
0.72,Exception,NullReferenceException: Object reference not set to an instance of an object
0.74,Exception,NullReferenceException: Object reference not set to an instance of an object
0.76,Exception,NullReferenceException: Object reference not set to an instance of an object
0.78,Exception,NullReferenceException: Object reference not set to an instance of an object
0.8,Exception,NullReferenceException: Object reference not set to an instance of an object
0.82,Exception,NullReferenceException: Object reference not set to an instance of an object
0.84,Exception,NullReferenceException: Object reference not set to an instance of an object
0.86,Exception,NullReferenceException: Object reference not set to an instance of an object
0.88,Exception,NullReferenceException: Object reference not set to an instance of an object
0.9,Exception,NullReferenceException: Object reference not set to an instance of an object
0.92,Exception,NullReferenceException: Object reference not set to an instance of an object
0.94,Exception,NullReferenceException: Object reference not set to an instance of an object
0.96,Exception,NullReferenceException: Object reference not set to an instance of an object
0.98,Exception,NullReferenceException: Object reference not set to an instance of an object
1,Exception,NullReferenceException: Object reference not set to an instance of an object
1.02,Exception,NullReferenceException: Object reference not set to an instance of an object
1.04,Exception,NullReferenceException: Object reference not set to an instance of an object
1.06,Exception,NullReferenceException: Object reference not set to an instance of an object
1.08,Exception,NullReferenceException: Object reference not set to an instance of an object
1.1,Exception,NullReferenceException: Object reference not set to an instance of an object
1.12,Exception,NullReferenceException: Object reference not set to an instance of an object
1.14,Exception,NullReferenceException: Object reference not set to an instance of an object
1.16,Exception,NullReferenceException: Object reference not set to an instance of an object
1.18,Exception,NullReferenceException: Object reference not set to an instance of an object
1.2,Exception,NullReferenceException: Object reference not set to an instance of an object
1.22,Exception,NullReferenceException: Object reference not set to an instance of an object
1.24,Exception,NullReferenceException: Object reference not set to an instance of an object
1.26,Exception,NullReferenceException: Object reference not set to an instance of an object
1.28,Exception,NullReferenceException: Object reference not set to an instance of an object
1.3,Exception,NullReferenceException: Object reference not set to an instance of an object
1.32,Exception,NullReferenceException: Object reference not set to an instance of an object
1.34,Exception,NullReferenceException: Object reference not set to an instance of an object
1.36,Exception,NullReferenceException: Object reference not set to an instance of an object
1.38,Exception,NullReferenceException: Object reference not set to an instance of an object
1.4,Exception,NullReferenceException: Object reference not set to an instance of an object
1.42,Exception,NullReferenceException: Object reference not set to an instance of an object
1.44,Exception,NullReferenceException: Object reference not set to an instance of an object
1.46,Exception,NullReferenceException: Object reference not set to an instance of an object
1.48,Exception,NullReferenceException: Object reference not set to an instance of an object
1.5,Exception,NullReferenceException: Object reference not set to an instance of an object
1.52,Exception,NullReferenceException: Object reference not set to an instance of an object
1.54,Exception,NullReferenceException: Object reference not set to an instance of an object
1.56,Exception,NullReferenceException: Object reference not set to an instance of an object
1.58,Exception,NullReferenceException: Object reference not set to an instance of an object
1.6,Exception,NullReferenceException: Object reference not set to an instance of an object
1.62,Exception,NullReferenceException: Object reference not set to an instance of an object
1.64,Exception,NullReferenceException: Object reference not set to an instance of an object
1.66,Exception,NullReferenceException: Object reference not set to an instance of an object
1.68,Exception,NullReferenceException: Object reference not set to an instance of an object
1.7,Exception,NullReferenceException: Object reference not set to an instance of an object
1.72,Exception,NullReferenceException: Object reference not set to an instance of an object
1.74,Exception,NullReferenceException: Object reference not set to an instance of an object
1.76,Exception,NullReferenceException: Object reference not set to an instance of an object
1.78,Exception,NullReferenceException: Object reference not set to an instance of an object
1.8,Exception,NullReferenceException: Object reference not set to an instance of an object
1.82,Exception,NullReferenceException: Object reference not set to an instance of an object
1.84,Exception,NullReferenceException: Object reference not set to an instance of an object
1.86,Exception,NullReferenceException: Object reference not set to an instance of an object
1.88,Exception,NullReferenceException: Object reference not set to an instance of an object
1.9,Exception,NullReferenceException: Object reference not set to an instance of an object
1.92,Exception,NullReferenceException: Object reference not set to an instance of an object
1.94,Exception,NullReferenceException: Object reference not set to an instance of an object
1.96,Exception,NullReferenceException: Object reference not set to an instance of an object
1.98,Exception,NullReferenceException: Object reference not set to an instance of an object
2,Exception,NullReferenceException: Object reference not set to an instance of an object
2.02,Exception,NullReferenceException: Object reference not set to an instance of an object
2.04,Exception,NullReferenceException: Object reference not set to an instance of an object
2.06,Exception,NullReferenceException: Object reference not set to an instance of an object
2.08,Exception,NullReferenceException: Object reference not set to an instance of an object
2.1,Exception,NullReferenceException: Object reference not set to an instance of an object
2.12,Exception,NullReferenceException: Object reference not set to an instance of an object
2.14,Exception,NullReferenceException: Object reference not set to an instance of an object
2.16,Exception,NullReferenceException: Object reference not set to an instance of an object
2.18,Exception,NullReferenceException: Object reference not set to an instance of an object
2.2,Exception,NullReferenceException: Object reference not set to an instance of an object
2.22,Exception,NullReferenceException: Object reference not set to an instance of an object
2.24,Exception,NullReferenceException: Object reference not set to an instance of an object
2.26,Exception,NullReferenceException: Object reference not set to an instance of an object
2.28,Exception,NullReferenceException: Object reference not set to an instance of an object
2.3,Exception,NullReferenceException: Object reference not set to an instance of an object
2.32,Exception,NullReferenceException: Object reference not set to an instance of an object
2.34,Exception,NullReferenceException: Object reference not set to an instance of an object
2.36,Exception,NullReferenceException: Object reference not set to an instance of an object
2.38,Exception,NullReferenceException: Object reference not set to an instance of an object
2.4,Exception,NullReferenceException: Object reference not set to an instance of an object
2.42,Exception,NullReferenceException: Object reference not set to an instance of an object
2.44,Exception,NullReferenceException: Object reference not set to an instance of an object
2.46,Exception,NullReferenceException: Object reference not set to an instance of an object
2.48,Exception,NullReferenceException: Object reference not set to an instance of an object
2.5,Exception,NullReferenceException: Object reference not set to an instance of an object
2.52,Exception,NullReferenceException: Object reference not set to an instance of an object
