x,y
-0.6684788,0.2076923
-0.6939804,0.09160371
-0.6994742,-0.02712606
-0.6848019,-0.1450738
-0.6503863,-0.258839
-0.5972199,-0.3651415
-0.5268354,-0.4609171
-0.4412619,-0.5434041
-0.3429665,-0.6102245
-0.2347833,-0.6594519
-0.1198312,-0.6896669
-0.001424256,-0.6999986
0.1170237,-0.6901488
0.2320978,-0.6604018
0.3404805,-0.6116151
0.4390469,-0.5451952
0.5249554,-0.4630571
0.5957289,-0.367569
0.6493276,-0.2614836
0.6842058,-0.1478594
0.699358,-0.02997271
0.6943474,0.08877844
0.6693186,0.2049697
0.6249929,0.315252
0.5626486,0.4164451
0.4840827,0.5056322
0.3915607,0.5802415
0.2877496,0.6381224
0.1756429,0.6776057
0.05847194,0.6975536
-0.06038442,0.6973907
-0.1775002,0.6771216
-0.2894986,0.6373308
-0.3931506,0.5791655
-0.4854673,0.504303
-0.5637884,0.4149007
-0.6258551,0.3135368
-0.6698782,0.2031334
-0.6945883,0.0868742
-0.6992732,-0.03189024
-0.6837977,-0.1497353
-0.648608,-0.2632633
-0.5947187,-0.3692014
-0.5236837,-0.4644947
-0.4375503,-0.546397
-0.3388022,-0.6125464
-0.2302862,-0.6610358
-0.1151309,-0.6904671
0.003342985,-0.699992
0.1217211,-0.6893359
0.23659,-0.6588058
0.3446379,-0.6092821
0.4427491,-0.5421929
0.5280963,-0.4594717
0.5982183,-0.3635037
0.6510932,-0.2570557
0.6851967,-0.1431973
0.6995459,-0.02520983
0.6937268,0.09350444
0.6679072,0.2095229
0.6228319,0.3195002
0.5597998,0.4202667
