time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
0.12,0,0,0,0,0,0
0.219345,0,0,0,0,0,0
0.2395653,0,0,0,0,0,0
0.2565579,0,0,0,0,0,0
0.2732427,0,0,0,0,0,0
0.2950449,0,0,0,0,0,0
0.3116118,0,0,0,0,0,0
0.3287964,0,0,0,0,0,0
0.3463552,0,0,0,0,0,0
0.3629225,0,0,0,0,0,0
0.3796437,0,0,0,0,0,0
0.3969494,0,0,0,0,0,0
0.4127764,0,0,0,0,0,0
0.4297224,0,0,0,0,0,0
0.451069,0,0,0,0,0,0
0.4685691,0,0,0,0,0,0
0.484203,0,0,0,0,0,0
0.5007722,0,0,0,0,0,0
0.5174753,0,0,0,0,0,0
0.533903,0,0,0,0,0,0
0.5504689,0,0,0,0,0,0
0.5672249,0,0,0,0,0,0
0.5836039,0,0,0,0,0,0
0.6071506,0,0,0,0,0,0
0.6237191,0,0,0,0,0,0
0.6405066,0,0,0,0,0,0
0.6574928,0,0,0,0,0,0
0.6744122,0,0,0,0,0,0
0.6899846,0,0,0,0,0,0
0.7065514,0,0,0,0,0,0
0.7233913,0,0,0,0,0,0
0.7525486,0,0,0,0,0,0
0.7779842,0,0,0,0,0,0
0.7945513,0,0,0,0,0,0
0.8111248,0,0,0,0,0,0
0.8277307,0,0,0,0,0,0
0.8442979,0,0,0,0,0,0
0.8609868,0,0,0,0,0,0
0.8779358,0,0,0,0,0,0
0.8939982,0,0,0,0,0,0
0.9108571,0,0,0,0,0,0
0.9335523,0,0,0,0,0,0
0.9501197,0,0,0,0,0,0
0.9666903,0,0,0,0,0,0
0.9832524,0,0,0,0,0,0
1.000598,0,0,0,0,0,0
1.016386,0,0,0,0,0,0
1.032953,0,0,0,0,0,0
1.04952,0,0,0,0,0,0
1.066423,0,0,0,0,0,0
1.087283,0,0,0,0,0,0
1.103874,0,0,0,0,0,0
1.120418,0,0,0,0,0,0
1.136983,0,0,0,0,0,0
1.1537,0,0,0,0,0,0
1.170118,0,0,0,0,0,0
1.187693,0,0,0,0,0,0
1.204261,-0.0468,0,-0.1552,0,0,0
1.221087,-0.0468,0,-0.1552,0,0,0
1.245225,-0.0468,0,-0.1552,0,0,0
1.261981,-0.0468,0,-0.1552,0,0,0
1.278911,-0.0468,0,-0.1552,0,0,0
1.294925,-0.1393,0,-0.2311,0,0,0
1.313493,-0.1896,0,-0.2313,0,0,0
1.33006,-0.2651,0,-0.24,0,0,0
1.346626,-0.3321,0,-0.2403,0,0,0
1.36457,-0.466,0,-0.1906,0,0,0
1.381137,-0.5832,0,-0.1744,0,0,0
1.409065,-0.7005,0,-0.1582,0,0,0
1.426155,-0.8763,0,-0.1338,0,0,0
1.449686,-0.9517,0,-0.1258,0,0,0
1.466254,-1.0858,0,-0.1264,0,0,0
1.483184,-1.178,0,-0.1352,0,0,0
1.500744,-1.287,0,-0.144,0,0,0
1.51731,-1.287,0,-0.144,0,0,0
1.534032,-1.4632,0,-0.1867,0,0,0
1.557339,-1.5387,0,-0.2122,0,0,0
1.574104,-1.6059,0,-0.246,0,0,0
1.591043,-1.6395,0,-0.2629,0,0,0
1.609334,-1.6815,0,-0.2883,0,0,0
1.625964,-1.7321,0,-0.3388,0,0,0
1.642467,-1.7573,0,-0.364,0,0,0
1.659035,-1.7573,0,-0.364,0,0,0
1.675809,-1.8078,0,-0.4145,0,0,0
1.692404,-1.8331,0,-0.4398,0,0,0
1.71537,-1.8583,0,-0.4651,0,0,0
1.731937,-1.8752,0,-0.4819,0,0,0
1.748504,-1.8837,0,-0.5071,0,0,0
1.765071,-1.8921,0,-0.5322,0,0,0
1.781637,-1.8922,0,-0.549,0,0,0
1.798205,-1.8922,0,-0.549,0,0,0
1.816162,-1.9093,0,-0.6161,0,0,0
1.832729,-1.9178,0,-0.6413,0,0,0
1.849295,-1.9263,0,-0.6665,0,0,0
1.874173,-1.9431,0,-0.6833,0,0,0
1.892164,-1.9433,0,-0.7336,0,0,0
1.908983,-1.9435,0,-0.7671,0,0,0
1.925549,-1.9436,0,-0.8006,0,0,0
1.942116,-1.9439,0,-0.8509,0,0,0
1.958683,-1.9439,0,-0.8509,0,0,0
1.975249,-1.9359,0,-0.9431,0,0,0
1.991816,-1.9276,0,-0.9682,0,0,0
2.008383,-1.9278,0,-1.0017,0,0,0
2.034962,-1.9028,0,-1.0435,0,0,0
2.051529,-1.8697,0,-1.1271,0,0,0
2.068096,-1.8448,0,-1.1857,0,0,0
2.084816,-1.8198,0,-1.2275,0,0,0
2.102343,-1.7865,0,-1.2609,0,0,0
2.11891,-1.7865,0,-1.2609,0,0,0
2.135476,-1.7449,0,-1.3361,0,0,0
2.152046,-1.7199,0,-1.3611,0,0,0
2.168635,-1.7032,0,-1.3778,0,0,0
2.192314,-1.6699,0,-1.4279,0,0,0
2.208881,-1.6365,0,-1.4613,0,0,0
2.22815,-1.6115,0,-1.4863,0,0,0
2.244717,-1.5781,0,-1.5197,0,0,0
2.261283,-1.5531,0,-1.5447,0,0,0
2.278992,-1.5531,0,-1.5447,0,0,0
2.295559,-1.503,0,-1.5948,0,0,0
2.312126,-1.4947,0,-1.6031,0,0,0
2.328692,-1.4697,0,-1.6282,0,0,0
2.354847,-1.4362,0,-1.6448,0,0,0
2.371849,-1.4028,0,-1.6614,0,0,0
2.388415,-1.386,0,-1.6613,0,0,0
2.404982,-1.3693,0,-1.678,0,0,0
2.422109,-1.3693,0,-1.678,0,0,0
2.438755,-1.3693,0,-1.678,0,0,0
2.455427,-1.3693,0,-1.678,0,0,0
2.472064,-1.3693,0,-1.678,0,0,0
2.488626,-1.3693,0,-1.678,0,0,0
2.510155,-1.3693,0,-1.678,0,0,0
2.527403,-1.3693,0,-1.678,0,0,0
2.543289,-1.3693,0,-1.678,0,0,0
2.559857,-1.3693,0,-1.678,0,0,0
2.576797,-1.3609,0,-1.6696,0,0,0
2.592988,-1.3442,0,-1.6863,0,0,0
2.609555,-1.3359,0,-1.6946,0,0,0
2.62615,-1.3275,0,-1.6862,0,0,0
2.643186,-1.3191,0,-1.6945,0,0,0
2.666981,-1.3191,0,-1.6945,0,0,0
2.683548,-1.2772,0,-1.7027,0,0,0
2.700115,-1.2689,0,-1.7111,0,0,0
2.717421,-1.2689,0,-1.7111,0,0,0
2.733375,-1.2439,0,-1.7361,0,0,0
2.750336,-1.2439,0,-1.7361,0,0,0
2.766714,-1.2439,0,-1.7361,0,0,0
2.783281,-1.2355,0,-1.7277,0,0,0
2.800349,-1.2104,0,-1.7527,0,0,0
2.824858,-1.2021,0,-1.7611,0,0,0
2.841425,-1.1771,0,-1.7861,0,0,0
2.859437,-1.1771,0,-1.7861,0,0,0
2.876004,-1.1687,0,-1.7944,0,0,0
2.893063,-1.1604,0,-1.8028,0,0,0
2.909137,-1.1604,0,-1.8028,0,0,0
2.925704,-1.1604,0,-1.8028,0,0,0
2.94286,-1.1353,0,-1.811,0,0,0
2.959632,-1.1353,0,-1.811,0,0,0
2.983241,-1.1269,0,-1.8194,0,0,0
2.999811,-1.1269,0,-1.8194,0,0,0
3.016837,-1.1102,0,-1.8193,0,0,0
