x,y
-0.6684788,0.2076923
-0.6939804,0.09160371
-0.6994742,-0.02712606
-0.6848019,-0.1450738
-0.6503863,-0.258839
-0.5972199,-0.3651415
-0.5268354,-0.4609171
-0.4412619,-0.5434041
-0.3429665,-0.6102245
-0.2347833,-0.6594519
-0.1198312,-0.6896669
-0.001424256,-0.6999986
0.1170237,-0.6901488
0.2320978,-0.6604018
0.3404805,-0.6116151
0.4390469,-0.5451952
0.5249554,-0.4630571
0.5957289,-0.367569
0.6493276,-0.2614836
0.6842058,-0.1478594
0.699358,-0.02997271
0.6943474,0.08877844
0.6693186,0.2049697
0.6249929,0.315252
0.5626486,0.4164451
0.4840827,0.5056322
0.3915607,0.5802415
0.2877496,0.6381224
0.1756429,0.6776057
0.05847194,0.6975536
-0.06038442,0.6973907
-0.1775002,0.6771216
-0.2894986,0.6373308
-0.3931506,0.5791655
-0.4854673,0.504303
-0.5637884,0.4149007
