time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
10.57177,-0.2374,2.1,-0.1178,90,45,0
10.58833,-0.2374,2.1,-0.1178,90,45,0
10.6049,-0.2374,2.1,-0.1178,90,45,0
10.62146,-0.2374,2.1,-0.1178,90,45,0
10.63803,-0.2374,2.1,-0.1178,90,45,0
10.65516,-0.2374,2.1,-0.1178,90,45,0
10.67144,-0.2374,2.1,-0.1178,90,45,0
10.68828,-0.2374,2.1,-0.1178,90,45,0
10.70445,-0.2374,2.1,-0.1178,90,45,0
10.72087,-0.2374,2.1,-0.1178,90,45,0
10.73778,-0.2374,2.1,-0.1178,90,45,0
10.75476,-0.2374,2.1,-0.1178,90,45,0
10.77153,-0.2374,2.1,-0.1178,90,45,0
10.78773,-0.2374,2.1,-0.1178,90,45,0
10.80371,-0.2374,2.1,-0.1178,90,45,0
10.82089,-0.2374,2.1,-0.1178,90,45,0
10.83688,-0.2374,2.1,-0.1178,90,45,0
10.85373,-0.2374,2.1,-0.1178,90,45,0
10.87049,-0.2374,2.1,-0.1178,90,45,0
10.88672,-0.2374,2.1,-0.1178,90,45,0
10.90317,-0.2374,2.1,-0.1178,90,45,0
10.92013,-0.2374,2.1,-0.1178,90,45,0
10.93691,-0.2374,2.1,-0.1178,90,45,0
10.95282,-0.23,2.1,-0.0399,90,45,0
10.97024,-0.2227,2.1,0.0238,90,45,0
10.98617,-0.1795,2.1,0.1937,90,45,0
11.00306,-0.0437,2.1,0.4984,90,45,0
11.01907,-0.0437,2.1,0.4984,90,45,0
11.0361,0.3269,2.1,1.1507,90,45,0
11.0522,0.5052,2.1,1.4839,90,45,0
