directory,experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,reaction_time,total_game_score,hammer_movement_filename
whack_a_mole/P_200414160609/S001,whack_a_mole,P_200414160609,1,1,1,1,146.4779,147.7701,0.7627574,,hammer_movement_T001.csv
whack_a_mole/P_200414160609/S001,whack_a_mole,P_200414160609,1,2,1,2,150.5723,155.5757,5,,hammer_movement_T002.csv
whack_a_mole/P_200414160609/S001,whack_a_mole,P_200414160609,1,3,1,3,158.5404,159.2031,0.5798332,,hammer_movement_T003.csv
whack_a_mole/P_200414160609/S001,whack_a_mole,P_200414160609,1,4,1,4,162.9803,163.7093,0.6629491,,hammer_movement_T004.csv
whack_a_mole/P_200414160609/S001,whack_a_mole,P_200414160609,1,5,1,5,167.0888,167.884,0.7123661,,hammer_movement_T005.csv
whack_a_mole/P_200414160609/S001,whack_a_mole,P_200414160609,1,6,1,6,178.3707,179.3648,0.6957999,,hammer_movement_T006.csv
whack_a_mole/P_200414160609/S001,whack_a_mole,P_200414160609,1,7,1,7,183.0591,183.755,0.6129851,,hammer_movement_T007.csv
whack_a_mole/P_200414160609/S001,whack_a_mole,P_200414160609,1,8,1,8,188.2777,188.874,0.5134221,,hammer_movement_T008.csv
whack_a_mole/P_200414160609/S001,whack_a_mole,P_200414160609,1,9,1,9,192.5861,193.3138,0.6781241,,hammer_movement_T009.csv
whack_a_mole/P_200414160609/S001,whack_a_mole,P_200414160609,1,10,1,10,196.6106,197.3231,0.5798328,,hammer_movement_T010.csv
